Name;URL;Author;Price;Number of ratings;Average Rating
Wonder;https://www.amazon.in/Wonder-R-J-Palacio/dp/0375869026?_encoding=UTF8&psc=1;R. J. Palacio;$10.19;12,623;4.9 out of 5 stars
Bright Baby Touch and Feel Easter;https://www.amazon.in/Bright-Baby-Touch-Feel-Easter/dp/0312513755?_encoding=UTF8&psc=1;Roger Priddy;$3.80;172;3.5 out of 5 stars
Player's Handbook (Dungeons & Dragons);https://www.amazon.in/Players-Handbook-Dungeons-Dragons-Wizards/dp/0786965606?_encoding=UTF8&psc=1;Wizards RPG Team;$27.27;2,512;4.6 out of 5 stars
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle;https://www.amazon.in/Complete-Ketogenic-Diet-Beginners-Essential/dp/1623158087?_encoding=UTF8&psc=1;Amy Ramos;$6.95;693;4.2 out of 5 stars
How to Win Friends & Influence People;https://www.amazon.in/How-Win-Friends-Influence-People/dp/0671027034?_encoding=UTF8&psc=1;Dale Carnegie;$9.60;8,028;4.7 out of 5 stars
Dear Zoo: A Lift-the-Flap Book;https://www.amazon.in/Dear-Zoo-Lift-Flap-Book/dp/141694737X?_encoding=UTF8&psc=1;Rod Campbell;$4.71;2,563;4.8 out of 5 stars
The Very Hungry Caterpillar;https://www.amazon.in/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907?_encoding=UTF8&psc=1;Eric Carle;$6.61;3,413;4.6 out of 5 stars
Milk and Honey;https://www.amazon.in/Milk-Honey-Rupi-Kaur/dp/144947425X?_encoding=UTF8&psc=1;Rupi Kaur;$8.99;5,377;4.6 out of 5 stars
Goodnight Moon;https://www.amazon.in/Goodnight-Moon-Margaret-Wise-Brown/dp/0694003611?_encoding=UTF8&psc=1;Margaret Wise Brown;$5.89;3,141;4.7 out of 5 stars
Food: What the Heck Should I Eat?;https://www.amazon.in/Food-What-Heck-Should-Eat/dp/0316338869?_encoding=UTF8&psc=1;Mark Hyman M.D.;$16.80;193;4.6 out of 5 stars
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book);https://www.amazon.in/Four-Agreements-Practical-Personal-Freedom/dp/1878424319?_encoding=UTF8&psc=1;Don Miguel Ruiz;$7.77;6,892;4.6 out of 5 stars
My First Easter;https://www.amazon.in/My-First-Easter-Tomie-dePaola/dp/0448447908?_encoding=UTF8&psc=1;Tomie dePaola;$4.88;84;4.1 out of 5 stars
Killing the Deep State: The Fight to Save President Trump;https://www.amazon.in/Killing-Deep-State-Fight-President/dp/1630061026?_encoding=UTF8&psc=1;Jerome R. Corsi;$17.99;353;4.7 out of 5 stars
The List: A Week-by-Week Reckoning of Trumpâ€™s First Year;https://www.amazon.in/List-Week-Week-Reckoning-Trumps/dp/1635572711?_encoding=UTF8&psc=1;Amy Siskind;$25.20;64;5.0 out of 5 stars
Everything Happens for a Reason: And Other Lies I've Loved;https://www.amazon.in/Everything-Happens-Reason-Other-Loved/dp/0399592067?_encoding=UTF8&psc=1;Kate Bowler;$18.20;167;4.6 out of 5 stars
Children of Blood and Bone (Legacy of Orisha);https://www.amazon.in/Children-Blood-Bone-Legacy-Orisha/dp/1250170974?_encoding=UTF8&psc=1;Tomi Adeyemi;$11.56;235;4.8 out of 5 stars
On Tyranny: Twenty Lessons from the Twentieth Century;https://www.amazon.in/Tyranny-Twenty-Lessons-Twentieth-Century/dp/0804190119?_encoding=UTF8&psc=1;Timothy Snyder;$6.39;1,826;4.6 out of 5 stars
