Name;URL;Author;Price;Number of ratings;Average Rating
Tiger Woods;https://www.amazon.com/Tiger-Woods-Jeff-Benedict/dp/1501126423?_encoding=UTF8&psc=1;Jeff Benedict;$18.00;11;4.3 out of 5 stars
Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends;https://www.amazon.com/Secret-Empires-American-Political-Corruption/dp/0062569368?_encoding=UTF8&psc=1;Peter Schweizer;$17.39;54;4.6 out of 5 stars
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle;https://www.amazon.com/Complete-Ketogenic-Diet-Beginners-Essential/dp/1623158087?_encoding=UTF8&psc=1;Amy Ramos;$6.95;698;4.2 out of 5 stars
First 100 Words;https://www.amazon.com/First-100-Words-Roger-Priddy/dp/0312510780?_encoding=UTF8&psc=1;Roger Priddy;$4.34;7,820;4.6 out of 5 stars
This Is Me: Loving the Person You Are Today;https://www.amazon.com/This-Me-Loving-Person-Today/dp/0062837877?_encoding=UTF8&psc=1;Chrissy Metz;$16.19;7;4.6 out of 5 stars
Monster Manual (D&D Core Rulebook);https://www.amazon.com/Monster-Manual-Core-Rulebook-Wizards/dp/0786965614?_encoding=UTF8&psc=1;Wizards RPG Team;$23.98;1,123;4.7 out of 5 stars
Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump;https://www.amazon.com/Russian-Roulette-Inside-America-Election/dp/1538728753?_encoding=UTF8&psc=1;Michael Isikoff;$18.00;197;4.7 out of 5 stars
Player's Handbook (Dungeons & Dragons);https://www.amazon.com/Players-Handbook-Dungeons-Dragons-Wizards/dp/0786965606?_encoding=UTF8&psc=1;Wizards RPG Team;$27.27;2,515;4.6 out of 5 stars
Milk and Honey;https://www.amazon.com/Milk-Honey-Rupi-Kaur/dp/144947425X?_encoding=UTF8&psc=1;Rupi Kaur;$8.99;5,379;4.6 out of 5 stars
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4);https://www.amazon.com/Dog-Man-Cat-Kid-Underpants/dp/0545935180?_encoding=UTF8&psc=1;Dav Pilkey;$6.40;362;4.9 out of 5 stars
Killing the Deep State: The Fight to Save President Trump;https://www.amazon.com/Killing-Deep-State-Fight-President/dp/1630061026?_encoding=UTF8&psc=1;Jerome R. Corsi;$17.99;366;4.7 out of 5 stars
Happy Easter, Mouse! (If You Give...);https://www.amazon.com/Happy-Easter-Mouse-You-Give/dp/0694014222?_encoding=UTF8&psc=1;Laura Numeroff;$5.63;283;4.5 out of 5 stars
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book);https://www.amazon.com/Four-Agreements-Practical-Personal-Freedom/dp/1878424319?_encoding=UTF8&psc=1;Don Miguel Ruiz;$7.77;6,894;4.6 out of 5 stars
Giraffes Can't Dance;https://www.amazon.com/Giraffes-Cant-Dance-Giles-Andreae/dp/0545392551?_encoding=UTF8&psc=1;Giles Andreae;$5.06;3,836;4.7 out of 5 stars
How to Win Friends & Influence People;https://www.amazon.com/How-Win-Friends-Influence-People/dp/0671027034?_encoding=UTF8&psc=1;Dale Carnegie;$9.60;8,030;4.7 out of 5 stars
The Very Hungry Caterpillar;https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907?_encoding=UTF8&psc=1;Eric Carle;$6.61;3,415;4.6 out of 5 stars
Goodnight Moon;https://www.amazon.com/Goodnight-Moon-Margaret-Wise-Brown/dp/0694003611?_encoding=UTF8&psc=1;Margaret Wise Brown;$5.89;3,144;4.7 out of 5 stars
Children of Blood and Bone (Legacy of Orisha);https://www.amazon.com/Children-Blood-Bone-Legacy-Orisha/dp/1250170974?_encoding=UTF8&psc=1;Tomi Adeyemi;$11.56;243;4.8 out of 5 stars
Food: What the Heck Should I Eat?;https://www.amazon.com/Food-What-Heck-Should-Eat/dp/0316338869?_encoding=UTF8&psc=1;Mark Hyman M.D.;$16.80;197;4.6 out of 5 stars
Faith: A Journey For All;https://www.amazon.com/Faith-Journey-All-Jimmy-Carter/dp/1501184415?_encoding=UTF8&psc=1;Jimmy Carter;$18.18;1;5.0 out of 5 stars
Try Not to Laugh Challenge, Easter Joke Book for Kids: Easter Basket Stuffer for Boys, Girls, Teens & Adults, Fun Easter Activity Book with Cute ... Easter Activities for the Whole Family!;https://www.amazon.com/Laugh-Challenge-Easter-Joke-Book/dp/1986554902?_encoding=UTF8&psc=1;Easter Bunny Press;$6.77;Not Available;Not Available
Wonder;https://www.amazon.com/Wonder-R-J-Palacio/dp/0375869026?_encoding=UTF8&psc=1;R. J. Palacio;$10.19;12,628;4.9 out of 5 stars
The Whole30: The 30-Day Guide to Total Health and Food Freedom;https://www.amazon.com/Whole30-30-Day-Guide-Health-Freedom/dp/0544609719?_encoding=UTF8&psc=1;Melissa Hartwig;$18.00;3,201;4.6 out of 5 stars
Dear Zoo: A Lift-the-Flap Book;https://www.amazon.com/Dear-Zoo-Lift-Flap-Book/dp/141694737X?_encoding=UTF8&psc=1;Rod Campbell;$4.71;2,564;4.8 out of 5 stars
Little Blue Truck's Springtime;https://www.amazon.com/Little-Trucks-Springtime-Alice-Schertle/dp/0544938097?_encoding=UTF8&psc=1;Alice Schertle;$9.17;77;3.7 out of 5 stars
Before We Were Yours: A Novel;https://www.amazon.com/Before-We-Were-Yours-Novel/dp/0425284689?_encoding=UTF8&psc=1;Lisa Wingate;$15.60;5,961;4.7 out of 5 stars
The Sun and Her Flowers;https://www.amazon.com/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797?_encoding=UTF8&psc=1;Rupi Kaur;$10.19;674;4.6 out of 5 stars
Ready Player One;https://www.amazon.com/Ready-Player-One-Ernest-Cline/dp/030788743X?_encoding=UTF8&psc=1;Ernest Cline;$10.42;16,544;4.6 out of 5 stars
The Wonderful Things You Will Be;https://www.amazon.com/Wonderful-Things-You-Will-Be/dp/0385376715?_encoding=UTF8&psc=1;Emily Winfield Martin;$12.19;1,447;4.8 out of 5 stars
It's Not Easy Being a Bunny (Beginner Books(R));https://www.amazon.com/Easy-Being-Bunny-Beginner-Books/dp/0394861027?_encoding=UTF8&psc=1;Marilyn Sadler;$6.79;230;4.8 out of 5 stars
Principles: Life and Work;https://www.amazon.com/Principles-Life-Work-Ray-Dalio/dp/1501124021?_encoding=UTF8&psc=1;Ray Dalio;$18.00;465;4.4 out of 5 stars
Pete the Cat: Big Easter Adventure;https://www.amazon.com/Pete-Cat-Big-Easter-Adventure/dp/006219867X?_encoding=UTF8&psc=1;James Dean;$7.08;217;4.6 out of 5 stars
Genius Foods: Become Smarter, Happier, and More Productive While Protecting Your Brain for Life;https://www.amazon.com/Genius-Foods-Smarter-Productive-Protecting/dp/0062562851?_encoding=UTF8&psc=1;Max Lugavere;$16.79;62;4.9 out of 5 stars
Simon vs. the Homo Sapiens Agenda;https://www.amazon.com/Simon-vs-Homo-Sapiens-Agenda/dp/006234868X?_encoding=UTF8&psc=1;Becky Albertalli;$6.69;824;4.7 out of 5 stars
The Great Alone: A Novel;https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah/dp/0312577230?_encoding=UTF8&psc=1;Kristin Hannah;$17.39;1,647;4.6 out of 5 stars
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain";https://www.amazon.com/Plant-Paradox-Dangers-Healthy-Disease/dp/006242713X?_encoding=UTF8&psc=1;Dr. Steven R Gundry;$16.79;1,262;4.5 out of 5 stars
